id,num_rooms,flat,district,house,floor_num,floors_num,square_total,square_living,square_kitchen,price
15960512,2,,ленинский,". Металлургов, 18/1",3,4,51.4,30.0,6.0,4890000
15955778,3,нестандартная,орджоникидзевский,"Карла Маркса, 233",10,11,67.0,39.0,9.0,4530000
15506606,2,,,"Ленина пр-т, 87А",4,10,60.0,47.0,12.0,3920000
15506607,1,,,"Зеленый Лог, 63",2,3,41.0,18.0,15.0,2900000
15699892,3,,,"Тевосяна, 25",3,9,66.0,49.0,9.0,3950000
15711474,1,,,,2,3,41.0,22.0,9.0,2900000
15711475,2,,,,2,3,57.0,40.0,12.0,4000000
15519552,1,,,"Ленина пр-т, 87А",7,14,54.0,36.0,14.0,3170000
15627793,1,,,"ул. Курортная, 8",3,4,17.5,0.0,0.0,2430000
15949865,3,,орджоникидзевский,"Сиреневый проезд, 24",5,9,68.0,42.0,9.0,5500000
15949828,3,брежневка,орджоникидзевский,"Ворошилова, 29",5,9,58.0,42.0,7.0,4400000
15948929,1,,,"Советской Армии, 39",1,5,30.0,17.0,6.0,2660000
15948926,1,,,"Зеленый лог, 33",8,10,32.0,0.0,6.0,2450000
15948924,1,,,"Ленина пр-т, 214Б",1,1,35.0,27.0,6.0,2000000
15948035,2,,орджоникидзевский,"Карла Маркса, 237/2",9,10,48.4,0.0,6.0,3300000
15943113,2,хрущевка,орджоникидзевский (левый берег),"Трамвайная, 30",3,4,43.0,30.0,6.0,2500000
15943108,3,,ленинский,"Комсомольская, 28",3,4,82.3,70.0,9.0,4910000
15943107,3,,правобережный,"Западное шоссе, 103",2,3,90.8,55.0,9.0,7300000
15713878,3,,орджоникидзевский,"Доменщиков, 25",5,5,63.0,52.0,7.0,4250000
15938220,1,,орджоникидзевский,"Ленина пр-т, 143",10,10,45.0,25.0,12.0,4200000
15938217,3,старой планировки,ленинский,"Первомайская, 1",1,2,53.3,31.1,6.0,3200000
15932427,1,,орджоникидзевский,"Ленина пр-т, 142",4,16,33.3,15.0,8.0,3200000
15937427,2,,,"Советский переулок, 10/1",5,9,43.6,32.0,6.0,3700000
15937426,2,,,"Строителей, 58/1",3,3,75.0,35.0,20.0,7150000
15936780,2,старой планировки,ленинский,"Николая Шишка, 20/1",3,5,43.0,29.0,6.0,2450000
15932428,3,свердловский вариант,орджоникидзевский,"Калмыкова,Коробова, 12",1,10,69.0,58.0,8.0,4250000
15927950,1,малосемейка,правобережный,"Ленина пр-т, 98/1",6,9,30.0,17.0,6.0,1750000
15927071,-1,,,"Калмыкова, 14",8,9,65.0,45.0,8.0,4800000
15927069,3,,правобережный,"ул Суворова, 142",5,5,50.8,36.0,6.0,3350000
15927068,3,,,"Ленина пр-т, 34",5,5,80.7,60.0,9.0,5300000
15927067,3,,,"ул Ленинградская, 5/2",1,4,70.0,45.0,12.0,5900000
15926372,4,,орджоникидзевский,"Сиреневый проезд, 21",7,9,68.6,0.0,10.0,5700000
15926370,1,,орджоникидзевский,"Карла Маркса, 220",2,10,42.5,0.0,8.5,3400000
15075126,3,старой планировки,ленинский,"Московская, 47",1,5,55.4,41.0,6.0,3010000
15921575,2,брежневка,орджоникидзевский,"Ворошилова, 9",4,5,45.0,30.0,6.0,3190000
